T,M,F,N
85 Years & Over,6113,11410,17523
80 Years & Over,14985,25414,40399
75 Years & Over,32589,47454,80043
70 Years & Over,63711,83280,146991
65 Years & Over,105864,129432,235296
80 - 84 Years,8872,14004,22876
75 - 79 Years,17604,22040,39644
70 - 74 Years,31122,35826,66948
65 - 69 Years,42153,46152,88305
60 - 64 Years,54023,56480,110503
55 - 59 Years,61934,63127,125061
50 - 54 Years,103766,102891,206657
45 - 49 Years,132445,129756,262201
40 - 44 Years,157640,154780,312420
35 - 39 Years,162037,160584,322621
30 - 34 Years,141827,148463,290290
25 - 29 Years,129285,137876,267161
20 - 24 Years,106249,105987,212236
15 - 19 Years,109002,102284,211286
10 - 14 Years,121639,113713,235352
5 - 9 Years,132200,124374,256574
0 - 4 Years,116756,108949,225705
